Vendor Name,Author,Unnamed: 2
Phase Eight,phaseeight,
Planned for Perfection,plannedforperfection,
Platinum Jubilee Pageant,platinumjubileepageant,
Plonk Crazy Golf,plonkgolf,
Plough Inn,ploughinnealing,
Popworld Watling Street,popworldlondonwatlingst,
Port Lympne Hotel & Reserve,portlympnepark,
Portobello & Golborne Market,visitportobello,
Punch Room At The London Edition,londonedition,
Punchdrunk,punchdrunkint,
Putt In The Park: Battersea Park,puttinthepark,
Ramada Belfast,ramadabelfastcitycentre-gb,
Resident Advisor,resident_advisor,
Richard The First,richardfirstpub,
Richy Hair UK,richyhairuk,
Rigby & Peller,rigbyandpeller,
Rita’s,ritasdining,
Rogue Productions,rogue.immersive,
Room2 Hometels,room2hometels,
Rose & Crown,roseandcrownealing,
Rosewood Hotels Art Afternoon Tea,chefmarkperkins,
Rotunda,rotundalondon,
Royal Caribbean UK,royalcaribbeanuk,
Royal Horticultural Society,the_rhs,
Royal Museums Greenwich,royalmuseumsgreenwich,
Royal Oak,royaloaknw10,
Rules Restaurant,rules_restaurant,
Schematic Theatre,schematictheatre,
Science Museum,sciencemuseum,
Sea Containers,seacontainersldn,
Secret London,secretlondon,
See Tickets,seetickets,
Seven Dials,7dialslondon,
Shoreditch Balls,shoreditchballs,
Shoreditch Nails,shoreditchnails,
Siobhan Ferguson,siobhaise,
Skylight Canalside Igloos,skylight_london,
Skylon Bar And Restaurant,skylonrestaurant,
"Sloane Street, London",sloanestreetsw1,
Slug And Lettuce Hanover Street,slughanoverstreet,
Smooth!,smoothcroydon,
Snowflake Luxury Gelato,snowflakegelato,
Sole Beauty Salons,solebeautysalons,
Souk,souk_restaurant_london,
Sounds Familiar Music Quiz,soundsfamiliarmusicquiz,
Southbank Centre,southbankcentre,
Sparks Film & Media Arts,sparks_filmarts,
SpiceBox,eatspicebox,
Spit & Sawdust,spit_n_sawdust,
"Sports Bar & Grill, Old Street",sportsbarandgrillbars,
Spread Eagle,thespreadeaglelondon,
Spring Restaurant,spring_ldn,
St Bartholomew The Great,greatstbarts,
"St Christopher’s Place, London",stchristophersplace,
Steam Bar & Restaurant,steambarandrestuarant,
Stretching,stretchinc_uk,
Sumi,sumilondon,
Sushisamba,sushisamba,
Sutton Arms,the_sutton_arms,
Swift Shoreditch,swiftbars,
Swing Patrol London,swingpatrol,
Tate,tate,
Taylor Taylor London,taylor_taylor_london,
TCS London Marathon,londonmarathon,
TEN HEALTH & FITNESS,tenhealthfitness,
The Abbey Tavern,abbeytavern,
The Adam & Eve,theadamandevee9,
The Albion,the.albion,
The Anthologist,theanthologistbar,
The Apple Tree,theappletreelondon,
The Balmoral,thebalmoral,
The Bedford,thebedfordpub,
The Berkeley,the_berkeley,
The Bird In Hand,theoaklondon,
The Birds,thebirdsleytonstone,
The Black Dog,theblackdogvauxhall,
The Boathouse,the_boathousesw15,
The Bodmin Jail Hotel,thebodminjailhotel,
The Britannia,britanniaken,
The Builders Arms,builders_arms,
The Bulls Head,bullsheadsw13,
The Cadogan Arms,cadoganarmspublichouse,
The Camden Head,camdenheadnw1,
The Candlemaker,thecandlemakerpub,
The Chequers,thechequerschurchill,
